 A2ADB1        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails     816/2076 Selected Drills           2-Jun-2015 14:05
                        816 Nails,  696 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$137       5.300     4.150   1  E4   (B)  #65   DUMMY_TW_NTC1    V VIA .
$138       5.300     4.250   1  E4   (B)  #66   DUMMY_TW_NTC2    V VIA .
$139       5.470     7.875   1  E7   (B)  #348  ENABLE_RST       V VIA .
$140       7.390    10.975   1  F9   (B)  #335  GATE_SENSE_RU    V VIA .
$141       7.390     7.625   1  F7   (B)  #333  GATE_SENSE_SV    V VIA .
$142       7.390     4.275   1  F4   (B)  #334  GATE_SENSE_TW    V VIA .
$145       1.650     4.475   1  B4   (B)  #198  GATE_TO_TRIGGER  V VIA .
$146       2.750     8.600   1  C7   (B)  #288  I_RU             V PIN IRU.1
$147       0.450     2.300   1  A2   (B)  #442  I_SENSE_PWM_CONTROLLER V VIA .
$148       7.725    11.075   1  G9   (B)  #249  I_SENSE_RU       V VIA .
$149       7.725     7.725   1  G7   (B)  #246  I_SENSE_SV       V VIA .
$150       7.720     4.375   1  G4   (B)  #247  I_SENSE_TW       V VIA .
$151       3.100     8.600   1  C7   (B)  #291  I_SV             V PIN ISV.1
$152       2.850     4.925   1  C4   (B)  #284  I_W                PIN I_W.1
$153       1.025     2.000   1  A2   (B)  #528  ISENSE           V VIA .
$154       1.500     8.300   1  B7   (B)  #43   NTC1             V PIN NTC1.1
$155       1.300     8.300   1  B7   (B)  #44   NTC2             V PIN NTC2.1
$156       1.150     8.850   1  A8   (B)  #251  NTC_DS           V PIN NTC_DS.1
$157       5.650    11.150   1  E9   (B)  #294  OCT_CONV_N       V VIA .
$158       4.400     0.625   1  D1   (B)  #381  OCT_INV          V PIN P5.16
$159       5.575     7.925   1  E7   (B)  #295  OCT_INV_N        V VIA .
$160       4.400     0.525   1  D1   (B)  #569  OLOAD_DUMMY      V PIN P5.15
$161       5.100     0.525   1  E1   (B)  #572  OUT_EN_INV       V PIN P5.29
$162       1.375     4.400   1  B4   (B)  #93   OUTPUT_555       V VIA .
$163       1.500     4.125   1  B4   (B)  #199  OUTPUT_TP_555    V VIA .
$172       7.975    10.886   1  G9   (B)  #20   PE_RU              PIN Q27.16
$173       7.975     7.539   1  G7   (B)  #42   PE_SV              PIN Q31.16
$174       7.975     4.193   1  G4   (B)  #64   PE_TW              PIN Q35.16
$175       4.200     0.625   1  D1   (B)  #383  PF_IGBT_INV      V PIN P5.12
$176       5.525     4.575   1  E4   (B)  #299  PF_IGBT_INV_OC   V VIA .
$177       1.225     5.375   1  A5   (B)  #390  PFAIL_COMP       V VIA .
$178       1.401     5.336   1  B5   (B)  #232  PFAIL_N_FILTERED V VIA .
$179       4.700    11.950   1  D10  (B)  #586  PFAIL_RS         V VIA .
$180       5.400    12.175   1  E10  (B)  #373  PFAIL_RS_CONV    V PIN P3.28
$181       3.454    12.225   1  C10  (B)  #94   PTC_1            V PIN P6.1
$182       3.946    12.225   1  D10  (B)  #97   PTC_6            V PIN P6.6
$183       2.800    12.325   1  C10  (B)  #162  PTC_ADC          V PIN PTC_ADC.1
$192       6.000    12.175   1  E10  (B)  #552  PWM_RN           V PIN P3.16
$193       6.000    12.275   1  E10  (B)  #551  PWM_RP           V PIN P3.15
$194       5.900    12.175   1  E10  (B)  #554  PWM_SN           V PIN P3.18
$195       5.900    12.275   1  E10  (B)  #553  PWM_SP           V PIN P3.17
$196       5.800    12.175   1  E10  (B)  #556  PWM_TN           V PIN P3.20
$197       5.800    12.275   1  E10  (B)  #555  PWM_TP           V PIN P3.19
$198       5.500     0.625   1  E1   (B)  #581  PWM_UN           V PIN P5.38
$199       5.600     0.525   1  E1   (B)  #582  PWM_UP           V PIN P5.39
$200       6.850    11.073   1  F9   (B)  #212  PWM_VCC_RU       V VIA .
$201       6.850     7.723   1  F7   (B)  #210  PWM_VCC_SV       V VIA .
$202       6.850     4.373   1  F4   (B)  #211  PWM_VCC_TW       V VIA .
$203       5.400     0.625   1  E1   (B)  #579  PWM_VN           V PIN P5.36
$204       5.500     0.525   1  E1   (B)  #580  PWM_VP           V PIN P5.37
$205       5.300     0.625   1  E1   (B)  #577  PWM_WN           V PIN P5.34
$206       5.400     0.525   1  E1   (B)  #578  PWM_WP           V PIN P5.35
$207       2.130     0.560   1  B1   (B)  #498  R_RES            V PIN P2.2
$208       6.650     8.500   1  F7   (B)  #70   REF_2V5_RU_N     V VIA .
$209       3.600     8.300   1  C7   (B)  #72   REF_2V5_RU_P     V VIA .
$210       6.650     5.150   1  F5   (B)  #74   REF_2V5_SV_N     V VIA .
$211       3.600     4.950   1  C4   (B)  #76   REF_2V5_SV_P     V VIA .
$212       6.650     1.800   1  F2   (B)  #78   REF_2V5_TW_N     V VIA .
$213       3.600     1.600   1  C2   (B)  #80   REF_2V5_TW_P     V VIA .
$214       6.140     8.495   1  E7   (B)  #101  REF_3V9_RU_N     V VIA .
$215       4.110     8.305   1  D7   (B)  #99   REF_3V9_RU_P     V VIA .
$216       6.140     5.145   1  E5   (B)  #105  REF_3V9_SV_N     V VIA .
$217       4.110     4.955   1  D4   (B)  #103  REF_3V9_SV_P     V VIA .
$218       6.140     1.795   1  E2   (B)  #109  REF_3V9_TW_N     V VIA .
$219       4.110     1.605   1  D2   (B)  #107  REF_3V9_TW_P     V VIA .
$220       1.225     5.275   1  A5   (B)  #477  REF_N            V VIA .
$221       1.225     5.125   1  A5   (B)  #478  REF_P            V VIA .
$222       1.825     7.510   1  B7   (B)  #615  REF_PRI          V VIA .
$223       1.925     7.150   1  B6   (B)  #464  REF_PRI_N        V VIA .
$240       8.050     9.600   1  G8   (B)  #8    RUN_E21          V VIA .
$241       6.155     9.250   1  E8   (B)  #9    RUN_E22          V VIA .
$242       5.367     9.517   1  E8   (B)  #10   RUN_E23          V VIA .
$243       6.575     9.200   1  F8   (B)  #14   RUN_G21          V VIA .
$244       5.175     9.217   1  E8   (B)  #16   RUN_G23          V VIA .
$245       6.875    10.775   1  F9   (B)  #4    RUP_C1           V PIN D10.1
$246       7.757     9.992   1  G8   (B)  #5    RUP_E11          V VIA .
$247       6.725     9.925   1  F8   (B)  #6    RUP_E12          V VIA .
$248       5.925     9.925   1  E8   (B)  #7    RUP_E13          V VIA .
$249       6.090     9.780   1  E8   (B)  #12   RUP_G12          V VIA .
$250       5.925    10.125   1  E9   (B)  #13   RUP_G13          V VIA .
$263       5.000    12.275   1  E10  (B)  #289  SENSE_IR         V PIN P3.35
$264       4.900    12.275   1  D10  (B)  #292  SENSE_IS         V PIN P3.37
$268       1.405     2.273   1  B2   (B)  #527  SMPS_SENSE_DRAIN V PIN TR4.2
$269       0.825     2.000   1  A2   (B)  #444  SMPS_SENSE_GATE  V VIA .
$270       9.217     5.059   1  H5   (B)  #39   SVN                PIN C168.2
$271       8.050     6.250   1  G6   (B)  #30   SVN_E21          V VIA .
$272       6.155     5.900   1  E5   (B)  #31   SVN_E22          V VIA .
$273       5.367     6.167   1  E5   (B)  #32   SVN_E23          V VIA .
$274       6.575     5.850   1  F5   (B)  #36   SVN_G21          V VIA .
$275       5.175     5.867   1  E5   (B)  #38   SVN_G23          V VIA .
$276       7.741     5.059   1  G5   (B)  #41   SVP                PIN C168.1
$277       7.028     7.400   1  F6   (B)  #26   SVP_C1             PIN Q31.1
$278       7.757     6.642   1  G6   (B)  #27   SVP_E11          V VIA .
$279       6.725     6.575   1  F6   (B)  #28   SVP_E12          V VIA .
$280       5.925     6.575   1  E6   (B)  #29   SVP_E13          V VIA .
$281       6.090     6.430   1  E6   (B)  #34   SVP_G12          V VIA .
$282       5.925     6.775   1  E6   (B)  #35   SVP_G13          V VIA .
$283       0.635    11.760   1  A10  (B)  #189  SW_TEMP_SENSOR   V VIA .
$284       0.850     8.850   1  A8   (B)  #235  TEMP_IGBT        V PIN TEMP_IGBT.1
$285       5.100    12.275   1  E10  (B)  #286  TEMP_IGBT_CONV   V PIN P3.33
$286       4.100     0.525   1  D1   (B)  #287  TEMP_IGBT_INV    V PIN P5.9
$287       0.350     8.850   1  A8   (B)  #540  TEMP_UN          V PIN TEMP_UN.1
$288       1.225     4.900   1  A4   (B)  #342  TRIGGER_555      V VIA .
$289       9.217     1.713   1  H2   (B)  #61   TWN                PIN C237.2
$290       8.050     2.900   1  G3   (B)  #52   TWN_E21          V VIA .
$291       6.155     2.550   1  E3   (B)  #53   TWN_E22          V VIA .
$292       5.367     2.817   1  E3   (B)  #54   TWN_E23          V VIA .
$293       6.575     2.500   1  F3   (B)  #58   TWN_G21          V VIA .
$294       5.175     2.517   1  E3   (B)  #60   TWN_G23          V VIA .
$295       3.900     3.375   1  D3   (B)  #62   TWO              V VIA .
$296       7.741     1.713   1  G2   (B)  #63   TWP                PIN C237.1
$297       7.028     4.053   1  F4   (B)  #48   TWP_C1             PIN Q35.1
$298       7.757     3.292   1  G3   (B)  #49   TWP_E11          V VIA .
