 A2ADB1        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails     816/2076 Selected Drills           2-Jun-2015 14:05
                        816 Nails,  696 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$429       5.375    11.600   1  E10  (B)  #375  UNNAMED_44_74HC14_I276_Y V VIA .
$430       5.375    11.750   1  E10  (B)  #372  UNNAMED_44_74HC14_I287_A V VIA .
$431       5.025    11.800   1  E10  (B)  #378  UNNAMED_44_74HC14_I288_A V VIA .
$432       6.625    11.628   1  F10  (B)  #400  UNNAMED_44_BC817_I3_B V VIA .
$433       5.695    11.475   1  E10  (B)  #401  UNNAMED_44_BC817_I101_B V VIA .
$434       0.400     1.450   1  A2   (B)  #402  UNNAMED_44_BC817_I101_C V VIA .
$435       1.100     1.225   1  A1   (B)  #412  UNNAMED_44_BC817_I121_B V VIA .
$436       0.553     0.798   1  A1   (B)  #413  UNNAMED_44_BC817_I121_C V PIN REL2.2
$437       5.965    11.255   1  E10  (B)  #89   UNNAMED_44_PS2561L_I234_AN V VIA .
$438       0.945     1.325   1  A2   (B)  #587  UNNAMED_44_PS2561L_I234_C V VIA .
$439       6.065    11.255   1  E10  (B)  #88   UNNAMED_44_R_I100_A V VIA .
$440       4.950     1.175   1  D1   (B)  #384  UNNAMED_45_74HC14_I93_A V VIA .
$441       5.575     0.825   1  E1   (B)  #380  UNNAMED_45_74HC14_I100_A V VIA .
$442       4.950     1.075   1  D1   (B)  #382  UNNAMED_45_74HC14_I104_A V VIA .
$443       2.200    11.950   1  B10  (B)  #170  UNNAMED_45_AD7417_I130_AIN2 V VIA .
$444       2.375    11.675   1  B10  (B)  #171  UNNAMED_45_AD7417_I130_AIN3 V VIA .
$445       2.240    11.675   1  B10  (B)  #172  UNNAMED_45_AD7417_I130_AIN4 V VIA .
$446       1.925    11.775   1  B10  (B)  #174  UNNAMED_45_AD7417_I130_SCL V VIA .
$447       1.925    11.875   1  B10  (B)  #175  UNNAMED_45_AD7417_I130_SDA V VIA .
$448       2.875    12.042   1  C10  (B)  #165  UNNAMED_45_BAT54S_I231_A1 V VIA .
$449       2.575    11.675   1  C10  (B)  #164  UNNAMED_45_BAT54S_I245_A1 V VIA .
$450       5.635     1.197   1  E1   (B)  #414  UNNAMED_45_BC817_I3_B V VIA .
$451       0.688    11.885   1  A10  (B)  #183  UNNAMED_45_C_I139_A V VIA .
$452       0.535    11.795   1  A10  (B)  #184  UNNAMED_45_C_I139_B V VIA .
$453       0.850    12.262   1  A10  (B)  #167  UNNAMED_45_C_I143_B V VIA .
$454       0.790    11.895   1  A10  (B)  #185  UNNAMED_45_C_I146_A V VIA .
$455       0.475    12.285   1  A10  (B)  #179  UNNAMED_45_C_I148_A V VIA .
$456       2.700    11.475   1  C10  (B)  #157  UNNAMED_45_C_I189_A V VIA .
$457       0.565    12.330   1  A10  (B)  #188  UNNAMED_45_LM3103_I145_RON V VIA .
$458       2.950    11.675   1  C10  (B)  #159  UNNAMED_45_R_I186_B V VIA .
$459       3.050    11.858   1  C10  (B)  #166  UNNAMED_45_R_I210_A V VIA .
$460       2.800    11.700   1  C10  (B)  #158  UNNAMED_45_R_I241_B V VIA .
$461       8.335    11.245   1  G9   (B)  #322  UNNAMED_46_10MQ040N_I407_A V VIA .
$462       4.850    10.990   1  D9   (B)  #262  UNNAMED_46_74HC14_I184_A V VIA .
$463       6.500    10.950   1  F9   (B)  #369  UNNAMED_46_74HC14_I184_Y V VIA .
$464       5.075    10.575   1  E9   (B)  #364  UNNAMED_46_74HC14_I209_A V VIA .
$465       6.450    11.055   1  F9   (B)  #365  UNNAMED_46_74HC14_I209_Y V VIA .
$466       4.850    11.160   1  D9   (B)  #260  UNNAMED_46_74HC14_I210_A V VIA .
$467       4.975    10.575   1  D9   (B)  #366  UNNAMED_46_74HC14_I221_A V VIA .
$468       5.100    10.375   1  E9   (B)  #367  UNNAMED_46_74HC14_I221_Y V VIA .
$469       4.850    11.342   1  D10  (B)  #261  UNNAMED_46_74HC14_I224_A V VIA .
$470       4.875    10.705   1  D9   (B)  #332  UNNAMED_46_74HC14_I235_A V VIA .
$471       6.300    11.000   1  F9   (B)  #368  UNNAMED_46_74HC14_I235_Y V VIA .
$472       7.800    10.625   1  G9   (B)  #127  UNNAMED_46_5033001300_I404_D V VIA .
$473       7.550    10.625   1  G9   (B)  #317  UNNAMED_46_BAS19_I21_A V VIA .
$474       7.425    10.625   1  F9   (B)  #240  UNNAMED_46_BAS19_I21_C V VIA .
$475       7.930     9.825   1  G8   (B)  #129  UNNAMED_46_BAS19_I178_A V VIA .
$476       5.805     8.500   1  E7   (B)  #398  UNNAMED_46_BAV99_I309_A1 V VIA .
$477       4.450     8.300   1  D7   (B)  #399  UNNAMED_46_BAV99_I328_A1 V VIA .
$478       4.600    10.645   1  D9   (B)  #263  UNNAMED_46_BC847C_I250_B V VIA .
$479       4.600    10.850   1  D9   (B)  #321  UNNAMED_46_BC847C_I250_C V VIA .
$480       6.240     8.475   1  E7   (B)  #146  UNNAMED_46_BDP949_I310_B V VIA .
$481       4.010     8.325   1  D7   (B)  #148  UNNAMED_46_BDP949_I327_B V VIA .
$482       6.400    10.525   1  F9   (B)  #224  UNNAMED_46_BZV55B9V1_I192_C V VIA .
$483       8.145    10.205   1  G9   (B)  #424  UNNAMED_46_BZV55B18_I408_A V VIA .
$484       6.275    10.100   1  F9   (B)  #426  UNNAMED_46_BZV55B18_I410_A V VIA .
$485       6.775    10.150   1  F9   (B)  #425  UNNAMED_46_BZV55B18_I412_A V VIA .
$486       5.060     9.215   2  E8   (B)  #429  UNNAMED_46_BZV55B18_I414_A V VIA .
$487       6.175     9.475   1  E8   (B)  #428  UNNAMED_46_BZV55B18_I416_A V VIA .
$488       7.562     9.425   1  G8   (B)  #427  UNNAMED_46_BZV55B18_I418_A V VIA .
$489       8.275     9.475   1  G8   (B)  #483  UNNAMED_46_C_I162_B V VIA .
$490       6.200    10.905   1  E9   (B)  #141  UNNAMED_46_C_I247_A V VIA .
$491       7.620    10.875   1  G9   (B)  #182  UNNAMED_46_C_I260_A V VIA .
$492       7.525    10.825   1  G9   (B)  #142  UNNAMED_46_C_I260_B V VIA .
$493       7.625    11.075   1  G9   (B)  #248  UNNAMED_46_C_I261_A V VIA .
$494       7.600    10.975   1  G9   (B)  #243  UNNAMED_46_C_I263_A V VIA .
$495       7.115     9.830   1  F8   (B)  #113  UNNAMED_46_C_I272_A V VIA .
$496       5.075     9.575   2  E8   (B)  #115  UNNAMED_46_C_I380_A V VIA .
$497       6.250    10.525   1  F9   (B)  #112  UNNAMED_46_HCPL316J_I183_VOUT V VIA .
$498       4.975     8.525   1  D7   (B)  #300  UNNAMED_46_JUMPER_I342_A V VIA .
$499       7.175    10.100   1  F9   (B)  #283  UNNAMED_46_MJD44H11_I55_E V VIA .
$500       4.750     9.200   1  D8   (B)  #280  UNNAMED_46_MJD44H11_I376_E V VIA .
$501       7.666    10.595   1  G9   (B)  #306  UNNAMED_46_R_I29_B V VIA .
$502       7.350    10.550   1  F9   (B)  #305  UNNAMED_46_R_I30_A V VIA .
$503       6.875    10.325   1  F9   (B)  #610  UNNAMED_46_R_I276_B V PIN D10.2
$504       6.725     9.825   1  F8   (B)  #281  UNNAMED_46_R_I279_A V VIA .
$505       6.000     9.600   1  E8   (B)  #282  UNNAMED_46_R_I279_B V VIA .
$506       6.525     8.500   1  F7   (B)  #71   UNNAMED_46_R_I311_B V VIA .
$507       3.725     8.300   1  C7   (B)  #73   UNNAMED_46_R_I335_B V VIA .
$508       4.725     8.898   1  D8   (B)  #279  UNNAMED_46_R_I371_A V VIA .
$509       4.850     9.200   1  D8   (B)  #278  UNNAMED_46_R_I374_A V VIA .
$510       5.740     9.410   1  E8   (B)  #609  UNNAMED_46_R_I396_B V PIN D15.2
$511       8.385     7.895   1  G7   (B)  #323  UNNAMED_47_10MQ040N_I406_A V VIA .
$512       5.195     7.225   1  E6   (B)  #258  UNNAMED_47_74HC14_I184_A V VIA .
$513       6.500     7.600   1  F7   (B)  #357  UNNAMED_47_74HC14_I184_Y V VIA .
$514       5.075     7.225   1  E6   (B)  #352  UNNAMED_47_74HC14_I209_A V VIA .
$515       6.450     7.705   1  F7   (B)  #353  UNNAMED_47_74HC14_I209_Y V VIA .
$516       4.975     8.065   1  D7   (B)  #254  UNNAMED_47_74HC14_I210_A V VIA .
$517       4.975     7.225   1  D6   (B)  #354  UNNAMED_47_74HC14_I221_A V VIA .
$518       5.100     7.025   1  E6   (B)  #355  UNNAMED_47_74HC14_I221_Y V VIA .
$519       5.175     8.015   1  E7   (B)  #256  UNNAMED_47_74HC14_I224_A V VIA .
$520       4.875     7.355   1  D6   (B)  #330  UNNAMED_47_74HC14_I235_A V VIA .
$521       6.300     7.650   1  F7   (B)  #356  UNNAMED_47_74HC14_I235_Y V VIA .
$522       7.800     7.275   1  G6   (B)  #131  UNNAMED_47_5033001300_I404_D V VIA .
$523       7.550     7.275   1  G6   (B)  #308  UNNAMED_47_BAS19_I21_A V VIA .
$524       7.425     7.275   1  F6   (B)  #238  UNNAMED_47_BAS19_I21_C V VIA .
$525       7.930     6.475   1  G6   (B)  #133  UNNAMED_47_BAS19_I178_A V VIA .
$526       5.805     5.150   1  E5   (B)  #394  UNNAMED_47_BAV99_I309_A1   VIA .
$527       4.450     4.950   1  D4   (B)  #396  UNNAMED_47_BAV99_I328_A1 V VIA .
$528       4.600     7.295   1  D6   (B)  #264  UNNAMED_47_BC847C_I250_B V VIA .
$529       4.600     7.500   1  D7   (B)  #319  UNNAMED_47_BC847C_I250_C V VIA .
$530       6.240     5.125   1  E5   (B)  #150  UNNAMED_47_BDP949_I310_B V VIA .
$531       4.010     4.975   1  D4   (B)  #152  UNNAMED_47_BDP949_I327_B V VIA .
$532       6.400     7.175   2  F6   (B)  #218  UNNAMED_47_BZV55B9V1_I192_C V VIA .
$533       5.050     6.550   2  E6   (B)  #214  UNNAMED_47_BZV55B9V1_I385_C V VIA .
$534       6.275     6.750   1  F6   (B)  #432  UNNAMED_47_BZV55B18_I408_A V VIA .
$535       5.060     5.865   1  E5   (B)  #435  UNNAMED_47_BZV55B18_I410_A V VIA .
$536       6.775     6.800   1  F6   (B)  #431  UNNAMED_47_BZV55B18_I412_A V VIA .
$537       8.145     6.855   1  G6   (B)  #430  UNNAMED_47_BZV55B18_I414_A V VIA .
$538       6.175     6.125   1  E5   (B)  #434  UNNAMED_47_BZV55B18_I416_A V VIA .
$539       7.562     6.075   1  G5   (B)  #433  UNNAMED_47_BZV55B18_I418_A V VIA .
$540       8.275     6.125   1  G5   (B)  #479  UNNAMED_47_C_I162_B V VIA .
$541       7.870     5.925   2  G5   (B)  #481  UNNAMED_47_C_I179_B V VIA .
$542       6.200     7.555   1  E7   (B)  #138  UNNAMED_47_C_I247_A V VIA .
$543       7.620     7.525   1  G7   (B)  #180  UNNAMED_47_C_I260_A V VIA .
$544       7.525     7.475   1  G6   (B)  #143  UNNAMED_47_C_I260_B V VIA .
$545       7.625     7.725   1  G7   (B)  #244  UNNAMED_47_C_I261_A V VIA .
$546       7.600     7.625   1  G7   (B)  #241  UNNAMED_47_C_I263_A V VIA .
$547       7.115     6.480   1  F6   (B)  #117  UNNAMED_47_C_I272_A V VIA .
$548       5.055     6.225   1  E5   (B)  #119  UNNAMED_47_C_I380_A V VIA .
$549       6.250     7.175   2  F6   (B)  #116  UNNAMED_47_HCPL316J_I183_VOUT V VIA .
$550       4.900     6.550   2  D6   (B)  #118  UNNAMED_47_HCPL316J_I202_VOUT V VIA .
$551       4.975     5.175   1  D5   (B)  #296  UNNAMED_47_JUMPER_I342_A V VIA .
$552       7.175     6.750   1  F6   (B)  #276  UNNAMED_47_MJD44H11_I55_E V VIA .
$553       4.750     5.850   1  D5   (B)  #270  UNNAMED_47_MJD44H11_I376_E V VIA .
$554       7.666     7.245   1  G6   (B)  #302  UNNAMED_47_R_I29_B V VIA .
$555       7.350     7.200   1  F6   (B)  #301  UNNAMED_47_R_I30_A V VIA .
$556       6.875     6.975   1  F6   (B)  #607  UNNAMED_47_R_I276_B V PIN D20.2
$557       6.725     6.475   1  F6   (B)  #272  UNNAMED_47_R_I279_A V VIA .
$558       6.000     6.250   1  E6   (B)  #273  UNNAMED_47_R_I279_B V VIA .
$559       6.525     5.150   1  F5   (B)  #75   UNNAMED_47_R_I311_B V VIA .
$560       3.725     4.950   1  C4   (B)  #77   UNNAMED_47_R_I335_B V VIA .
$561       4.725     5.548   1  D5   (B)  #267  UNNAMED_47_R_I371_A V VIA .
$562       4.850     5.850   1  D5   (B)  #266  UNNAMED_47_R_I374_A V VIA .
$563       5.740     6.060   1  E5   (B)  #605  UNNAMED_47_R_I396_B V PIN D26.2
$564       8.385     4.545   1  G4   (B)  #324  UNNAMED_48_10MQ040N_I405_A V VIA .
$565       4.850     4.290   1  D4   (B)  #259  UNNAMED_48_74HC14_I184_A V VIA .
$566       6.500     4.250   1  F4   (B)  #363  UNNAMED_48_74HC14_I184_Y V VIA .
$567       5.075     3.875   1  E4   (B)  #358  UNNAMED_48_74HC14_I209_A V VIA .
$568       6.450     4.355   1  F4   (B)  #359  UNNAMED_48_74HC14_I209_Y V VIA .
$569       4.850     4.460   1  D4   (B)  #255  UNNAMED_48_74HC14_I210_A V VIA .
$570       4.975     3.875   1  D4   (B)  #360  UNNAMED_48_74HC14_I221_A V VIA .
$571       5.100     3.675   1  E3   (B)  #361  UNNAMED_48_74HC14_I221_Y V VIA .
$572       4.850     4.642   1  D4   (B)  #257  UNNAMED_48_74HC14_I224_A V VIA .
$573       4.875     4.005   1  D4   (B)  #331  UNNAMED_48_74HC14_I235_A V VIA .
$574       6.300     4.300   1  F4   (B)  #362  UNNAMED_48_74HC14_I235_Y V VIA .
$575       7.800     3.925   1  G4   (B)  #135  UNNAMED_48_5033001300_I403_D V VIA .
$576       7.550     3.925   1  G4   (B)  #310  UNNAMED_48_BAS19_I21_A V VIA .
$577       7.425     3.925   1  F4   (B)  #239  UNNAMED_48_BAS19_I21_C V VIA .
$578       7.930     3.125   1  G3   (B)  #137  UNNAMED_48_BAS19_I178_A V VIA .
$579       5.805     1.800   1  E2   (B)  #395  UNNAMED_48_BAV99_I309_A1 V VIA .
$580       4.450     1.600   1  D2   (B)  #397  UNNAMED_48_BAV99_I328_A1 V VIA .
$581       4.600     3.945   1  D4   (B)  #265  UNNAMED_48_BC847C_I250_B V VIA .
$582       4.600     4.150   1  D4   (B)  #320  UNNAMED_48_BC847C_I250_C V VIA .
$583       6.240     1.775   1  E2   (B)  #154  UNNAMED_48_BDP949_I310_B V VIA .
$584       4.010     1.625   1  D2   (B)  #156  UNNAMED_48_BDP949_I327_B V VIA .
$585       6.400     3.825   2  F4   (B)  #220  UNNAMED_48_BZV55B9V1_I192_C V VIA .
$586       5.050     3.200   2  E3   (B)  #216  UNNAMED_48_BZV55B9V1_I385_C V VIA .
$587       6.275     3.400   1  F3   (B)  #438  UNNAMED_48_BZV55B18_I407_A V VIA .
$588       5.060     2.515   1  E3   (B)  #441  UNNAMED_48_BZV55B18_I409_A V VIA .
$589       6.775     3.450   1  F3   (B)  #437  UNNAMED_48_BZV55B18_I411_A V VIA .
$590       8.145     3.505   1  G3   (B)  #436  UNNAMED_48_BZV55B18_I413_A V VIA .
$591       6.175     2.775   1  E3   (B)  #440  UNNAMED_48_BZV55B18_I415_A V VIA .
$592       7.562     2.725   1  G3   (B)  #439  UNNAMED_48_BZV55B18_I417_A V VIA .
$593       8.275     2.775   1  G3   (B)  #480  UNNAMED_48_C_I162_B V VIA .
$594       7.870     2.575   2  G3   (B)  #482  UNNAMED_48_C_I179_B V VIA .
$595       6.200     4.205   1  E4   (B)  #140  UNNAMED_48_C_I247_A V VIA .
$596       7.620     4.175   1  G4   (B)  #181  UNNAMED_48_C_I260_A V VIA .
$597       7.525     4.125   1  G4   (B)  #144  UNNAMED_48_C_I260_B V VIA .
$598       7.620     4.375   1  G4   (B)  #245  UNNAMED_48_C_I261_A V VIA .
$599       7.600     4.275   1  G4   (B)  #242  UNNAMED_48_C_I263_A V VIA .
$600       7.115     3.130   1  F3   (B)  #121  UNNAMED_48_C_I272_A V VIA .
$601       5.075     2.875   2  E3   (B)  #123  UNNAMED_48_C_I380_A V VIA .
$602       6.250     3.825   2  F4   (B)  #120  UNNAMED_48_HCPL316J_I183_VOUT V VIA .
$603       4.900     3.200   2  D3   (B)  #122  UNNAMED_48_HCPL316J_I202_VOUT V VIA .
$604       4.975     1.825   1  D2   (B)  #298  UNNAMED_48_JUMPER_I342_A V VIA .
$605       7.175     3.400   1  F3   (B)  #277  UNNAMED_48_MJD44H11_I55_E V VIA .
$606       4.750     2.500   1  D3   (B)  #271  UNNAMED_48_MJD44H11_I376_E V VIA .
$607       7.666     3.895   1  G4   (B)  #304  UNNAMED_48_R_I29_B V VIA .
$608       7.350     3.850   1  F4   (B)  #303  UNNAMED_48_R_I30_A V VIA .
$609       6.875     3.625   1  F3   (B)  #608  UNNAMED_48_R_I276_B V PIN D34.2
$610       6.725     3.125   1  F3   (B)  #274  UNNAMED_48_R_I279_A V VIA .
$611       6.000     2.900   1  E3   (B)  #275  UNNAMED_48_R_I279_B V VIA .
$612       6.525     1.800   1  F2   (B)  #79   UNNAMED_48_R_I311_B V VIA .
$613       3.725     1.600   1  C2   (B)  #81   UNNAMED_48_R_I335_B V VIA .
$614       4.725     2.198   1  D2   (B)  #269  UNNAMED_48_R_I371_A V VIA .
$615       4.850     2.500   1  D3   (B)  #268  UNNAMED_48_R_I374_A V VIA .
$616       5.740     2.710   1  E3   (B)  #606  UNNAMED_48_R_I396_B V PIN D39.2
$617       1.700     9.225   1  B8   (B)  #409  UNNAMED_49_BC817_I64_B V VIA .
$618       1.280     8.975   1  B8   (B)  #410  UNNAMED_49_BC817_I64_C V VIA .
$619       1.600     9.225   1  B8   (B)  #411  UNNAMED_49_BC817_I64_E V VIA .
$620       1.280     9.275   1  B8   (B)  #449  UNNAMED_49_C_I6_A V VIA .
$621       1.575     8.450   1  B7   (B)  #450  UNNAMED_49_C_I6_B V VIA .
$622       1.575     8.550   1  B7   (B)  #200  UNNAMED_49_C_I21_A V VIA .
$623       0.600     8.300   1  A7   (B)  #236  UNNAMED_49_C_I30_A V VIA .
$624       0.530     9.210   1  A8   (B)  #237  UNNAMED_49_C_I41_A V VIA .
$625       0.750     8.600   1  A7   (B)  #233  UNNAMED_49_C_I55_A V VIA .
$626       0.600     8.675   1  A7   (B)  #234  UNNAMED_49_C_I56_A V VIA .
$627       0.600     8.575   1  A7   (B)  #471  UNNAMED_49_C_I119_A V VIA .
$628       1.280     9.075   1  B8   (B)  #521  UNNAMED_49_IL300_I4_A V VIA .
$629       0.720     9.275   1  A8   (B)  #522  UNNAMED_49_IL300_I4_A2 V VIA .
$630       1.675     8.800   1  B8   (B)  #647  UNNAMED_49_R_I45_B V VIA .
$631       1.560     9.000   1  B8   (B)  #661  UNNAMED_49_R_I46_A V VIA .
$632       0.850     8.600   1  A7   (B)  #627  UNNAMED_49_R_I49_A V VIA .
$633       0.700     8.880   1  A8   (B)  #652  UNNAMED_49_R_I50_A V VIA .
$634       0.350     8.600   1  A7   (B)  #639  UNNAMED_49_R_I51_B V VIA .
$635       0.850     9.125   1  A8   (B)  #632  UNNAMED_49_R_I71_B V VIA .
$636       0.700     9.125   1  A8   (B)  #638  UNNAMED_49_R_I73_A V VIA .
$637       0.600     8.400   1  A7   (B)  #649  UNNAMED_49_R_I116_A V VIA .
$638       0.850     8.100   1  A7   (B)  #611  UNNAMED_49_R_I121_A V VIA .
$639       1.225     8.450   1  A7   (B)  #678  UNNAMED_49_TL084B_I91_NIN V VIA .
$640       1.225     8.700   1  A7   (B)  #250  UNNAMED_49_TL084B_I92_NIN V VIA .
$641       1.575     8.750   1  B8   (B)  #677  UNNAMED_49_TL084B_I93_NIN V VIA .
$642       0.425     8.450   1  A7   (B)  #680  UNNAMED_49_TL084B_I106_NIN V VIA .
$643       2.425     0.557   1  B1   (B)  #490  UR               V PIN P2.3
$644       3.650     1.200   1  C1   (B)  #617  UR_LOW_IMP       V VIA .
$645       2.720     0.560   1  C1   (B)  #489  US               V PIN P2.4
$646       3.650     0.950   1  C1   (B)  #620  US_LOW_IMP       V VIA .
$647       3.016     0.557   1  C1   (B)  #488  UT               V PIN P2.5
$648       4.000     0.950   1  D1   (B)  #623  UT_LOW_IMP       V VIA .
$650       0.550     2.400   1  A2   (B)  #327  VCC_PWM_CONTROLLER V VIA .
$651       2.525     7.150   1  C6   (B)  #468  VRS_DC_N         V PIN DC_VRS.1
$652       1.225     5.600   1  A5   (B)  #231  VRS_N_RECTIFIED  V VIA .
$653       0.850     7.050   1  A6   (B)  #466  VRS_OUT_DC_N     V PIN VRS.1
$654       2.525     7.675   1  C7   (B)  #462  VST_DC_N         V PIN DC_VST.1
$655       2.375     8.075   1  B7   (B)  #539  VST_N            V PIN VST_NP.1
$656       0.350     7.550   1  A7   (B)  #470  VST_OUT_DC_N     V PIN VST.1
$657       2.850     1.852   1  C2   (B)  #225  -15V_SENSE         PIN C234.2
$658       3.025     1.725   1  C2   (B)  #225  -15V_SENSE       V PIN S-15V.1
$659       7.500     1.975   1  G2   (B)  #124  24V_DRIVER         VIA .
$660       8.300    10.850   1  G9   (B)  #124  24V_DRIVER       V VIA .
$661       1.400     1.275   1  B2   (B)  #202  24V_SE_RTN         VIA .
$662       7.802    12.255   1  G10  (B)  #202  24V_SE_RTN       V PIN P1.2
$663       7.335     1.565   1  F2   (B)  #207  24V_SW_RTN         VIA .
$664       7.453     0.560   1  F1   (B)  #207  24V_SW_RTN       V PIN P4.2
$665       9.268    12.275   1  H10  (B)  #546  DCN_DIS          V PIN R3.2
$666       9.300    12.425   1  H10  (B)  #546  DCN_DIS            VIA .
$667       1.750    10.525   1  B9   (B)  #197  DCN_U_ME_1         PIN DCN_ME_1.1
$668       2.000    10.500   1  B9   (B)  #197  DCN_U_ME_1       V PIN R53.1
$669       8.375     1.325   1  G2   (B)  #329  DCP_LED            PIN NP5.1
$670       8.450     0.420   1  G1   (B)  #329  DCP_LED          V VIA .
$671       1.750    10.950   1  B9   (B)  #195  DCP_U_ME_1         PIN DCP_ME_1.1
$672       2.000    10.925   1  B9   (B)  #195  DCP_U_ME_1       V PIN R42.2
$673       5.280     8.525   1  E7   (B)  #297  PF_IGBT_CONV_OC    VIA .
$674       5.300     1.825   1  E2   (B)  #297  PF_IGBT_CONV_OC  V VIA .
$675       3.552    12.225   1  C10  (B)  #95   PTC_23           V PIN P6.2
$676       3.651    12.225   1  C10  (B)  #95   PTC_23           V PIN P6.3
$677       3.749    12.225   1  C10  (B)  #96   PTC_45           V PIN P6.4
$678       3.848    12.225   1  D10  (B)  #96   PTC_45           V PIN P6.5
$679       0.275     7.650   1  A7   (B)  #472  REF_SEC          V VIA .
$680       0.850     8.350   1  A7   (B)  #472  REF_SEC            PIN REF_S.1
$681       6.090     9.450   1  E8   (B)  #15   RUN_G22            VIA .
$682       6.275     9.175   1  F8   (B)  #15   RUN_G22          V VIA .
$683       3.600    10.075   1  C9   (B)  #497  R_MAIN             PIN NP3.1
$684       3.900    10.075   1  D9   (B)  #18   RUO              V VIA .
$685       6.275    10.000   1  F9   (B)  #11   RUP_G11            VIA .
$686       7.930    10.175   1  G9   (B)  #11   RUP_G11          V VIA .
$687       1.537     0.798   1  B1   (B)  #496  S_RES            V PIN REL2.14
$688       1.834     0.557   1  B1   (B)  #496  S_RES            V PIN P2.1
$689       0.400     3.350   1  A3   (B)  #293  SENSE_IV           VIA .
$690       3.900     0.625   1  D1   (B)  #293  SENSE_IV         V PIN P5.6
$691       1.025     3.375   1  A3   (B)  #326  SENSE_PWM_CONTROLLER_SUPPLY V VIA .
$692       1.125     2.000   1  A2   (B)  #326  SENSE_PWM_CONTROLLER_SUPPLY   VIA .
$693       6.090     6.100   1  E5   (B)  #37   SVN_G22            VIA .
$694       6.275     5.825   1  F5   (B)  #37   SVN_G22          V VIA .
$695       6.275     6.650   1  F6   (B)  #33   SVP_G11            VIA .
$696       7.930     6.825   1  G6   (B)  #33   SVP_G11          V VIA .
$697       6.090     2.750   1  E3   (B)  #59   TWN_G22            VIA .
$698       6.275     2.475   1  F2   (B)  #59   TWN_G22          V VIA .
$699       6.275     3.300   1  F3   (B)  #55   TWP_G11            VIA .
$700       7.930     3.475   1  G3   (B)  #55   TWP_G11          V VIA .
$701       0.600    10.950   1  A9   (B)  #476  UDCL             V PIN UDCL.1
$702       4.000     0.625   1  D1   (B)  #476  UDCL             V PIN P5.8
$703       2.100     7.439   1  B6   (B)  #619  UNNAMED_9_R_I238_A V VIA .
$704       2.275     7.350   3  B6   (B)  #619  UNNAMED_9_R_I238_A   VIA .
$705       1.995     2.470   1  B2   (B)  #420  UNNAMED_39_BYG22D_I157_A V PIN TR4.8
$706       2.275     2.575   1  B3   (B)  #420  UNNAMED_39_BYG22D_I157_A   VIA .
$707       8.382    11.525   1  G10  (B)  #672  UNNAMED_43_R_I133_B   PIN R19.2
$708       9.268    11.900   1  H10  (B)  #672  UNNAMED_43_R_I133_B V PIN R5.1
$709       8.230     9.550   1  G8   (B)  #128  UNNAMED_46_BAS19_I43_A   VIA .
$710       8.230     9.825   1  G8   (B)  #128  UNNAMED_46_BAS19_I43_A V VIA .
$711       5.050     9.900   1  E8   (B)  #222  UNNAMED_46_BZV55B9V1_I385_C V VIA .
$712       5.225     9.595   1  E8   (B)  #222  UNNAMED_46_BZV55B9V1_I385_C   VIA .
$713       5.740     8.960   1  E8   (B)  #223  UNNAMED_46_BZV55B18_I266_A V PIN D15.1
$714       6.500    10.525   1  F9   (B)  #223  UNNAMED_46_BZV55B18_I266_A   VIA .
$715       4.930     9.200   2  D8   (B)  #221  UNNAMED_46_BZV55B18_I389_A   VIA .
$716       5.150     9.900   1  E8   (B)  #221  UNNAMED_46_BZV55B18_I389_A V VIA .
$717       7.870     9.275   2  G8   (B)  #484  UNNAMED_46_C_I179_B V VIA .
$718       7.955     9.300   1  G8   (B)  #484  UNNAMED_46_C_I179_B   VIA .
$719       4.900     9.900   1  D8   (B)  #114  UNNAMED_46_HCPL316J_I202_VOUT V VIA .
$720       4.990     9.205   3  D8   (B)  #114  UNNAMED_46_HCPL316J_I202_VOUT   VIA .
$721       8.230     6.200   1  G5   (B)  #132  UNNAMED_47_BAS19_I43_A   VIA .
$722       8.230     6.475   1  G6   (B)  #132  UNNAMED_47_BAS19_I43_A V VIA .
$723       4.930     5.850   2  D5   (B)  #213  UNNAMED_47_BZV55B18_I389_A   VIA .
$724       5.150     6.550   1  E6   (B)  #213  UNNAMED_47_BZV55B18_I389_A V VIA .
$725       8.230     2.850   1  G3   (B)  #136  UNNAMED_48_BAS19_I43_A   VIA .
$726       8.230     3.125   1  G3   (B)  #136  UNNAMED_48_BAS19_I43_A V VIA .
$727       4.930     2.500   2  D3   (B)  #215  UNNAMED_48_BZV55B18_I389_A   VIA .
$728       5.150     3.200   1  E3   (B)  #215  UNNAMED_48_BZV55B18_I389_A V VIA .
$729       2.275     7.450   3  B6   (B)  #392  VRS_N              VIA .
$730       2.375     7.550   1  B7   (B)  #392  VRS_N            V PIN VRS_NP.1
$731       0.350     7.050   1  A6   (B)  #541  VRS_OUT_N        V PIN VRS_N.1
$732       5.200    12.275   1  E10  (B)  #541  VRS_OUT_N        V PIN P3.31
$733       0.850     7.550   1  A7   (B)  #542  VST_OUT_N        V PIN VST_N.1
$734       5.300    12.275   1  E10  (B)  #542  VST_OUT_N        V PIN P3.29
$735       6.150     9.120   1  E8   (B)  #100  +27V_RU_N        V VIA .
